CODE,LISTED.NAME,BOARD.LOT
1,CKH HOLDINGS,500
2,CLP HOLDINGS,500
3,HK & CHINA GAS,1000
4,WHARF HOLDINGS,1000
5,HSBC HOLDINGS,400
6,POWER ASSETS,500
7,HOIFU ENERGY,2000
8,PCCW,1000
9,NINE EXPRESS,6000
10,HANG LUNG GROUP,1000
11,HANG SENG BANK,100
12,HENDERSON LAND,1000
14,HYSAN DEV,1000
15,VANTAGE INT'L,2000
16,SHK PPT,1000
17,NEW WORLD DEV,1000
18,ORIENTAL PRESS,2000
19,SWIRE PACIFIC A,500
20,WHEELOCK,1000
21,GREAT CHI PPT,5000
22,MEXAN,40000
23,BANK OF E ASIA,200
24,BURWILL,2000
25,CHEVALIER INT'L,2000
26,CHINA MOTOR BUS,200
27,GALAXY ENT,1000
28,TIAN AN,1000
29,DYNAMIC HOLD,2000
30,BAN LOONG HOLD,2000
31,CHINA AEROSPACE,2000
32,CROSS-HAR(HOLD),1000
33,HARMONIC STR,2000
34,KOWLOON DEV,1000
35,FE CONSORT INTL,1000
36,FE HLDGS INTL,3000
37,FE HOTELS,2000
38,FIRST TRACTOR,2000
39,CH BEIDAHUANG,8000
40,GOLD PEAK,1000
41,GREAT EAGLE H,1000
42,NE ELECTRIC,2000
43,C.P. POKPHAND,2000
44,HAECO,400
45,HK&S HOTELS,500
46,COMPUTER & TECH,2000
47,HOP HING GROUP,4000
48,C AUTO INT DECO,10000
50,HK FERRY (HOLD),1000
51,HARBOUR CENTRE,1000
52,FAIRWOOD HOLD,500
53,GUOCO GROUP,1000
54,HOPEWELL HOLD,500
55,NEWAY GROUP,10000
56,ALLIED PPT (HK),2000
57,CHEN HSONG HOLD,2000
58,SUNWAY INT'L,20000
59,SKYFAME REALTY,2000
60,HK FOOD INV,2000
61,NORTH ASIA RES,5000
62,TRANSPORT INT'L,400
63,WINFOONG INT'L,1000
64,GET NICE,2000
65,GRAND OCEAN AR,4000
66,MTR CORPORATION,500
67,LUMENA NEWMAT,2000
68,LEE HING,1000
69,SHANGRI-LA ASIA,2000
70,NEPTUNE GP-NEW,10000
71,MIRAMAR HOTEL,1000
72,MODERN MEDIA,2000
73,ASIAN CITRUS,1000
75,Y.T. REALTY,2000
76,SOUTH SEA PETRO,4000
77,AMS TRANSPORT,2000
78,REGAL INT'L,2000
79,CENTURY LEGEND,4000
81,CH OVS G OCEANS,1000
82,V1 GROUP,2000
83,SINO LAND,2000
84,STELUX HOLDINGS,1000
85,CHINA ELECTRON,2000
86,SUN HUNG KAI CO,1000
